url,domain,type,issues
https://example.com/photo/0,example.com,photo,orphan|redirect_chain
https://example.co.uk/product/product-1,example.co.uk,product,orphan|hreflang_missing|broken_internal_link
https://example.de/product/product-2,example.de,product,missing_meta_description|hreflang_missing
https://example.fr/professional/directory-3,example.fr,directory,
https://example.com.au/category/category-4?style=modern,example.com.au,category,hreflang_missing
https://example.ca/photo/5,example.ca,photo,non_canonical_self
https://example.es/product/product-6,example.es,product,hreflang_missing
https://example.it/product/product-7,example.it,product,hreflang_missing|slow_lcp|non_canonical_self
https://example.jp/category/category-8,example.jp,category,duplicate_title|redirect_chain
https://example.in/photo/9,example.in,photo,missing_meta_description|hreflang_missing
https://example.mx/product/product-10,example.mx,product,slow_lcp
https://example.br/,example.br,home,noindex|faceted_duplicate
https://example.nl/product/product-12,example.nl,product,orphan|missing_meta_description|hreflang_missing
https://example.sg/product/product-13,example.sg,product,
https://example.com/photo/14,example.com,photo,duplicate_title
https://example.co.uk/product/product-15,example.co.uk,product,
https://example.de/product/product-16,example.de,product,missing_meta_description|hreflang_missing
https://example.fr/product/product-17,example.fr,product,faceted_duplicate
https://example.com.au/magazine/editorial-article-18,example.com.au,editorial,hreflang_missing|slow_lcp
https://example.ca/product/product-19,example.ca,product,slow_lcp
https://example.es/photo/20,example.es,photo,orphan|hreflang_missing
https://example.it/product/product-21,example.it,product,
https://example.jp/photo/22,example.jp,photo,hreflang_missing
https://example.in/category/category-23?price=low&style=modern,example.in,category,missing_meta_description|non_canonical_self
https://example.mx/discussion/24,example.mx,forum,missing_meta_description|hreflang_missing|slow_lcp
https://example.br/product/product-25,example.br,product,slow_lcp|redirect_chain
https://example.nl/photo/26,example.nl,photo,hreflang_missing|slow_lcp
https://example.sg/photo/27,example.sg,photo,
https://example.com/discussion/28,example.com,forum,missing_meta_description|non_canonical_self
https://example.co.uk/photo/29,example.co.uk,photo,slow_lcp
https://example.de/product/product-30,example.de,product,hreflang_missing|slow_lcp
https://example.fr/product/product-31,example.fr,product,slow_lcp
https://example.com.au/category/category-32,example.com.au,category,hreflang_missing|faceted_duplicate|redirect_chain
https://example.ca/product/product-33,example.ca,product,hreflang_missing
https://example.es/product/product-34,example.es,product,hreflang_missing
https://example.it/product/product-35,example.it,product,noindex
https://example.jp/magazine/editorial-article-36,example.jp,editorial,duplicate_title|slow_lcp
https://example.in/product/product-37,example.in,product,orphan|hreflang_missing
https://example.mx/product/product-38,example.mx,product,noindex|hreflang_missing
https://example.br/product/product-39,example.br,product,
https://example.nl/product/product-40,example.nl,product,hreflang_missing
https://example.sg/photo/41,example.sg,photo,hreflang_missing
https://example.com/category/category-42,example.com,category,
https://example.co.uk/category/category-43,example.co.uk,category,
https://example.de/category/category-44,example.de,category,hreflang_missing|faceted_duplicate|non_canonical_self
https://example.fr/photo/45,example.fr,photo,duplicate_title|hreflang_missing|slow_lcp
https://example.com.au/product/product-46,example.com.au,product,noindex|hreflang_missing
https://example.ca/product/product-47,example.ca,product,orphan|slow_lcp
https://example.es/photo/48,example.es,photo,missing_meta_description|hreflang_missing|slow_lcp
https://example.it/category/category-49,example.it,category,slow_lcp
https://example.jp/product/product-50,example.jp,product,hreflang_missing
https://example.in/photo/51,example.in,photo,hreflang_missing
https://example.mx/category/category-52,example.mx,category,hreflang_missing|faceted_duplicate
https://example.br/magazine/editorial-article-53,example.br,editorial,duplicate_title|hreflang_missing
https://example.nl/product/product-54,example.nl,product,hreflang_missing
https://example.sg/product/product-55,example.sg,product,missing_meta_description|hreflang_missing|slow_lcp
https://example.com/product/product-56,example.com,product,hreflang_missing|slow_lcp|redirect_chain
https://example.co.uk/product/product-57,example.co.uk,product,missing_meta_description
https://example.de/product/product-58,example.de,product,orphan|hreflang_missing|slow_lcp
https://example.fr/product/product-59,example.fr,product,
https://example.com.au/professional/directory-60,example.com.au,directory,slow_lcp
https://example.ca/category/category-61?style=modern&price=low,example.ca,category,orphan|hreflang_missing|faceted_duplicate
https://example.es/product/product-62,example.es,product,hreflang_missing|slow_lcp
https://example.it/product/product-63,example.it,product,hreflang_missing
https://example.jp/category/category-64?color=red&material=wood&price=low,example.jp,category,hreflang_missing
https://example.in/product/product-65,example.in,product,duplicate_title|missing_meta_description|hreflang_missing|non_canonical_self
https://example.mx/category/category-66?style=modern,example.mx,category,duplicate_title|hreflang_missing|slow_lcp
https://example.br/category/category-67?material=wood,example.br,category,faceted_duplicate
https://example.nl/professional/directory-68,example.nl,directory,duplicate_title|hreflang_missing
https://example.sg/product/product-69,example.sg,product,
https://example.com/product/product-70,example.com,product,
https://example.co.uk/product/product-71,example.co.uk,product,
https://example.de/discussion/72,example.de,forum,hreflang_missing|slow_lcp
https://example.fr/product/product-73,example.fr,product,slow_lcp
https://example.com.au/photo/74,example.com.au,photo,hreflang_missing
https://example.ca/photo/75,example.ca,photo,hreflang_missing
https://example.es/category/category-76,example.es,category,faceted_duplicate
https://example.it/product/product-77,example.it,product,hreflang_missing|slow_lcp
https://example.jp/product/product-78,example.jp,product,hreflang_missing
https://example.in/photo/79,example.in,photo,slow_lcp|non_canonical_self
https://example.mx/photo/80,example.mx,photo,
https://example.br/photo/81,example.br,photo,hreflang_missing
https://example.nl/photo/82,example.nl,photo,hreflang_missing
https://example.sg/discussion/83,example.sg,forum,duplicate_title|hreflang_missing
https://example.com/discussion/84,example.com,forum,duplicate_title
https://example.co.uk/category/category-85?material=wood,example.co.uk,category,duplicate_title
https://example.de/product/product-86,example.de,product,
https://example.fr/product/product-87,example.fr,product,hreflang_missing
https://example.com.au/photo/88,example.com.au,photo,hreflang_missing|slow_lcp
https://example.ca/photo/89,example.ca,photo,orphan|missing_meta_description|slow_lcp
https://example.es/product/product-90,example.es,product,duplicate_title|hreflang_missing|slow_lcp|non_canonical_self
https://example.it/category/category-91,example.it,category,missing_meta_description
https://example.jp/category/category-92,example.jp,category,hreflang_missing
https://example.in/photo/93,example.in,photo,duplicate_title|missing_meta_description|slow_lcp
https://example.mx/professional/directory-94,example.mx,directory,missing_meta_description
https://example.br/product/product-95,example.br,product,hreflang_missing
https://example.nl/category/category-96,example.nl,category,
https://example.sg/photo/97,example.sg,photo,
https://example.com/category/category-98,example.com,category,non_canonical_self
https://example.co.uk/magazine/editorial-article-99,example.co.uk,editorial,hreflang_missing|slow_lcp|faceted_duplicate
https://example.de/product/product-100,example.de,product,hreflang_missing
https://example.fr/category/category-101?color=red,example.fr,category,hreflang_missing
https://example.com.au/photo/102,example.com.au,photo,duplicate_title|slow_lcp
https://example.ca/product/product-103,example.ca,product,orphan
https://example.es/category/category-104?material=wood,example.es,category,hreflang_missing|slow_lcp|faceted_duplicate
https://example.it/magazine/editorial-article-105,example.it,editorial,hreflang_missing
https://example.jp/product/product-106,example.jp,product,
https://example.in/photo/107,example.in,photo,hreflang_missing
https://example.mx/photo/108,example.mx,photo,missing_meta_description|hreflang_missing
https://example.br/product/product-109,example.br,product,missing_meta_description
https://example.nl/discussion/110,example.nl,forum,hreflang_missing
https://example.sg/product/product-111,example.sg,product,hreflang_missing
https://example.com/product/product-112,example.com,product,hreflang_missing|slow_lcp
https://example.co.uk/magazine/editorial-article-113,example.co.uk,editorial,missing_meta_description|hreflang_missing
https://example.de/product/product-114,example.de,product,
https://example.fr/product/product-115,example.fr,product,hreflang_missing
https://example.com.au/photo/116,example.com.au,photo,duplicate_title|slow_lcp
https://example.ca/discussion/117,example.ca,forum,hreflang_missing
https://example.es/product/product-118,example.es,product,
https://example.it/professional/directory-119,example.it,directory,
https://example.jp/product/product-120,example.jp,product,missing_meta_description|hreflang_missing|non_canonical_self
https://example.in/category/category-121,example.in,category,missing_meta_description
https://example.mx/discussion/122,example.mx,forum,hreflang_missing|slow_lcp
https://example.br/product/product-123,example.br,product,missing_meta_description|hreflang_missing
https://example.nl/category/category-124,example.nl,category,hreflang_missing
https://example.sg/product/product-125,example.sg,product,hreflang_missing|redirect_chain
https://example.com/product/product-126,example.com,product,slow_lcp
https://example.co.uk/product/product-127,example.co.uk,product,missing_meta_description|non_canonical_self
https://example.de/magazine/editorial-article-128,example.de,editorial,slow_lcp
https://example.fr/product/product-129,example.fr,product,hreflang_missing
https://example.com.au/discussion/130,example.com.au,forum,hreflang_missing
https://example.ca/product/product-131,example.ca,product,duplicate_title|hreflang_missing
https://example.es/photo/132,example.es,photo,hreflang_missing|broken_internal_link
https://example.it/product/product-133,example.it,product,
https://example.jp/photo/134,example.jp,photo,hreflang_missing
https://example.in/product/product-135,example.in,product,hreflang_missing
https://example.mx/product/product-136,example.mx,product,
https://example.br/product/product-137,example.br,product,missing_meta_description
https://example.nl/product/product-138,example.nl,product,slow_lcp
https://example.sg/product/product-139,example.sg,product,
https://example.com/product/product-140,example.com,product,
https://example.co.uk/product/product-141,example.co.uk,product,hreflang_missing
https://example.de/discussion/142,example.de,forum,orphan
https://example.fr/product/product-143,example.fr,product,hreflang_missing|slow_lcp|faceted_duplicate
https://example.com.au/photo/144,example.com.au,photo,slow_lcp
https://example.ca/product/product-145,example.ca,product,
https://example.es/product/product-146,example.es,product,hreflang_missing|slow_lcp
https://example.it/product/product-147,example.it,product,orphan|hreflang_missing
https://example.jp/photo/148,example.jp,photo,slow_lcp
https://example.in/photo/149,example.in,photo,hreflang_missing
https://example.mx/category/category-150?style=modern&material=wood,example.mx,category,slow_lcp
https://example.br/discussion/151,example.br,forum,hreflang_missing
https://example.nl/photo/152,example.nl,photo,orphan
https://example.sg/photo/153,example.sg,photo,missing_meta_description|slow_lcp|faceted_duplicate
https://example.com/product/product-154,example.com,product,hreflang_missing|slow_lcp
https://example.co.uk/product/product-155,example.co.uk,product,
https://example.de/product/product-156,example.de,product,hreflang_missing|slow_lcp
https://example.fr/discussion/157,example.fr,forum,
https://example.com.au/photo/158,example.com.au,photo,hreflang_missing
https://example.ca/photo/159,example.ca,photo,hreflang_missing|non_canonical_self
https://example.es/product/product-160,example.es,product,hreflang_missing|slow_lcp
