,Month,Referring Domains,New Links,DR,Brand Search Volume,G2 Reviews,Capterra Reviews,Referral Sessions,PR Placements,AI Citation Mentions
1,Month 1,800,0,72,100,270,180,4000,2,45
2,Month 2,820,8,72,102,290,190,4200,3,48
3,Month 3,855,15,73,105,310,205,4600,4,52
4,Month 4,890,22,74,108,340,220,5200,5,58
5,Month 5,925,28,75,112,370,240,6100,6,65
6,Month 6,965,35,75,116,400,260,7200,7,72
7,Month 7,1010,42,76,120,430,285,8100,8,80
8,Month 8,1055,48,76,124,460,310,9000,9,88
9,Month 9,1100,55,77,128,470,335,9500,10,95
10,Month 10,1150,62,77,132,480,355,10000,11,102
11,Month 11,1200,68,78,135,490,370,10500,12,110
12,Month 12,1250,75,78,138,500,385,11000,13,120
